time_step,method,feature_type,num_pedestrians,num_clusters,noise_ratio,runtime_sec,n_clusters_param,eps,min_samples
0,dbscan,spatial_xy,29,7,0.06896551724137931,0.0012485980987548828,3,0.6,2
10,dbscan,spatial_xy,30,7,0.13333333333333333,0.0009992122650146484,3,0.6,2
20,dbscan,spatial_xy,31,8,0.06451612903225806,0.0008382797241210938,3,0.6,2
30,dbscan,spatial_xy,32,8,0.0625,0.0008518695831298828,3,0.6,2
40,dbscan,spatial_xy,33,7,0.030303030303030304,0.0008640289306640625,3,0.6,2
50,dbscan,spatial_xy,36,5,0.027777777777777776,0.0008492469787597656,3,0.6,2
60,dbscan,spatial_xy,37,4,0.02702702702702703,0.0009181499481201172,3,0.6,2
70,dbscan,spatial_xy,38,3,0.02631578947368421,0.0008552074432373047,3,0.6,2
80,dbscan,spatial_xy,38,3,0.02631578947368421,0.0008537769317626953,3,0.6,2
90,dbscan,spatial_xy,39,4,0.05128205128205128,0.0008597373962402344,3,0.6,2
100,dbscan,spatial_xy,38,5,0.07894736842105263,0.0008492469787597656,3,0.6,2
110,dbscan,spatial_xy,37,5,0.10810810810810811,0.0008463859558105469,3,0.6,2
120,dbscan,spatial_xy,36,5,0.08333333333333333,0.0008389949798583984,3,0.6,2
130,dbscan,spatial_xy,36,5,0.1111111111111111,0.0009129047393798828,3,0.6,2
140,dbscan,spatial_xy,36,6,0.1111111111111111,0.0008313655853271484,3,0.6,2
150,dbscan,spatial_xy,37,5,0.05405405405405406,0.0008466243743896484,3,0.6,2
160,dbscan,spatial_xy,35,6,0.02857142857142857,0.0008573532104492188,3,0.6,2
170,dbscan,spatial_xy,36,4,0.027777777777777776,0.0008492469787597656,3,0.6,2
180,dbscan,spatial_xy,34,3,0.029411764705882353,0.0008347034454345703,3,0.6,2
190,dbscan,spatial_xy,37,4,0.02702702702702703,0.0008585453033447266,3,0.6,2
200,dbscan,spatial_xy,37,3,0.02702702702702703,0.0008382797241210938,3,0.6,2
210,dbscan,spatial_xy,37,2,0.02702702702702703,0.0008521080017089844,3,0.6,2
220,dbscan,spatial_xy,37,3,0.08108108108108109,0.0008337497711181641,3,0.6,2
230,dbscan,spatial_xy,36,3,0.08333333333333333,0.0008444786071777344,3,0.6,2
