time_step,method,feature_type,num_pedestrians,num_clusters,noise_ratio,runtime_sec,n_clusters_param,eps,min_samples
0,kmeans,spatial_xy,29,3,0.0,0.05229520797729492,3,0.6,2
10,kmeans,spatial_xy,30,3,0.0,0.010661840438842773,3,0.6,2
20,kmeans,spatial_xy,31,3,0.0,0.00897836685180664,3,0.6,2
30,kmeans,spatial_xy,32,3,0.0,0.008955955505371094,3,0.6,2
40,kmeans,spatial_xy,33,3,0.0,0.00891876220703125,3,0.6,2
50,kmeans,spatial_xy,36,3,0.0,0.00917959213256836,3,0.6,2
60,kmeans,spatial_xy,37,3,0.0,0.0088653564453125,3,0.6,2
70,kmeans,spatial_xy,38,3,0.0,0.00908207893371582,3,0.6,2
80,kmeans,spatial_xy,38,3,0.0,0.008754730224609375,3,0.6,2
90,kmeans,spatial_xy,39,3,0.0,0.009016752243041992,3,0.6,2
100,kmeans,spatial_xy,38,3,0.0,0.009645223617553711,3,0.6,2
110,kmeans,spatial_xy,37,3,0.0,0.008967161178588867,3,0.6,2
120,kmeans,spatial_xy,36,3,0.0,0.008734941482543945,3,0.6,2
130,kmeans,spatial_xy,36,3,0.0,0.008736848831176758,3,0.6,2
140,kmeans,spatial_xy,36,3,0.0,0.009413003921508789,3,0.6,2
150,kmeans,spatial_xy,37,3,0.0,0.009023904800415039,3,0.6,2
160,kmeans,spatial_xy,35,3,0.0,0.0091400146484375,3,0.6,2
170,kmeans,spatial_xy,36,3,0.0,0.008971452713012695,3,0.6,2
180,kmeans,spatial_xy,34,3,0.0,0.008677005767822266,3,0.6,2
190,kmeans,spatial_xy,37,3,0.0,0.009454965591430664,3,0.6,2
200,kmeans,spatial_xy,37,3,0.0,0.008744001388549805,3,0.6,2
210,kmeans,spatial_xy,37,3,0.0,0.010495662689208984,3,0.6,2
220,kmeans,spatial_xy,37,3,0.0,0.008649349212646484,3,0.6,2
230,kmeans,spatial_xy,36,3,0.0,0.008501291275024414,3,0.6,2
240,kmeans,spatial_xy,37,3,0.0,0.00857234001159668,3,0.6,2
250,kmeans,spatial_xy,36,3,0.0,0.009148597717285156,3,0.6,2
260,kmeans,spatial_xy,37,3,0.0,0.008719682693481445,3,0.6,2
270,kmeans,spatial_xy,36,3,0.0,0.01036524772644043,3,0.6,2
280,kmeans,spatial_xy,35,3,0.0,0.00962209701538086,3,0.6,2
290,kmeans,spatial_xy,35,3,0.0,0.009806632995605469,3,0.6,2
300,kmeans,spatial_xy,35,3,0.0,0.009250402450561523,3,0.6,2
310,kmeans,spatial_xy,32,3,0.0,0.009079694747924805,3,0.6,2
320,kmeans,spatial_xy,33,3,0.0,0.009430170059204102,3,0.6,2
330,kmeans,spatial_xy,35,3,0.0,0.00977945327758789,3,0.6,2
340,kmeans,spatial_xy,36,3,0.0,0.009345054626464844,3,0.6,2
350,kmeans,spatial_xy,36,3,0.0,0.008982658386230469,3,0.6,2
360,kmeans,spatial_xy,36,3,0.0,0.008996963500976562,3,0.6,2
370,kmeans,spatial_xy,36,3,0.0,0.009217262268066406,3,0.6,2
380,kmeans,spatial_xy,36,3,0.0,0.009901046752929688,3,0.6,2
390,kmeans,spatial_xy,36,3,0.0,0.009737014770507812,3,0.6,2
400,kmeans,spatial_xy,37,3,0.0,0.009764909744262695,3,0.6,2
410,kmeans,spatial_xy,37,3,0.0,0.008768796920776367,3,0.6,2
420,kmeans,spatial_xy,37,3,0.0,0.0099639892578125,3,0.6,2
430,kmeans,spatial_xy,37,3,0.0,0.009612798690795898,3,0.6,2
440,kmeans,spatial_xy,37,3,0.0,0.009108304977416992,3,0.6,2
450,kmeans,spatial_xy,37,3,0.0,0.009222030639648438,3,0.6,2
460,kmeans,spatial_xy,38,3,0.0,0.009882211685180664,3,0.6,2
470,kmeans,spatial_xy,36,3,0.0,0.008962154388427734,3,0.6,2
480,kmeans,spatial_xy,36,3,0.0,0.009265422821044922,3,0.6,2
490,kmeans,spatial_xy,36,3,0.0,0.008936882019042969,3,0.6,2
500,kmeans,spatial_xy,37,3,0.0,0.009107828140258789,3,0.6,2
510,kmeans,spatial_xy,36,3,0.0,0.009983062744140625,3,0.6,2
520,kmeans,spatial_xy,36,3,0.0,0.008871793746948242,3,0.6,2
530,kmeans,spatial_xy,36,3,0.0,0.009422540664672852,3,0.6,2
540,kmeans,spatial_xy,37,3,0.0,0.009102106094360352,3,0.6,2
550,kmeans,spatial_xy,38,3,0.0,0.010980367660522461,3,0.6,2
560,kmeans,spatial_xy,38,3,0.0,0.014734983444213867,3,0.6,2
570,kmeans,spatial_xy,39,3,0.0,0.01473546028137207,3,0.6,2
580,kmeans,spatial_xy,39,3,0.0,0.015805959701538086,3,0.6,2
590,kmeans,spatial_xy,38,3,0.0,0.009329080581665039,3,0.6,2
600,kmeans,spatial_xy,37,3,0.0,0.009063482284545898,3,0.6,2
610,kmeans,spatial_xy,34,3,0.0,0.008926868438720703,3,0.6,2
620,kmeans,spatial_xy,35,3,0.0,0.008884906768798828,3,0.6,2
630,kmeans,spatial_xy,38,3,0.0,0.009671926498413086,3,0.6,2
640,kmeans,spatial_xy,37,3,0.0,0.009093999862670898,3,0.6,2
650,kmeans,spatial_xy,35,3,0.0,0.008995294570922852,3,0.6,2
660,kmeans,spatial_xy,35,3,0.0,0.008665084838867188,3,0.6,2
670,kmeans,spatial_xy,36,3,0.0,0.008756875991821289,3,0.6,2
680,kmeans,spatial_xy,35,3,0.0,0.009209632873535156,3,0.6,2
690,kmeans,spatial_xy,35,3,0.0,0.010222434997558594,3,0.6,2
700,kmeans,spatial_xy,35,3,0.0,0.009070873260498047,3,0.6,2
710,kmeans,spatial_xy,35,3,0.0,0.00875997543334961,3,0.6,2
720,kmeans,spatial_xy,39,3,0.0,0.009145736694335938,3,0.6,2
730,kmeans,spatial_xy,38,3,0.0,0.009376287460327148,3,0.6,2
740,kmeans,spatial_xy,38,3,0.0,0.009239435195922852,3,0.6,2
750,kmeans,spatial_xy,41,3,0.0,0.010277748107910156,3,0.6,2
760,kmeans,spatial_xy,42,3,0.0,0.009737730026245117,3,0.6,2
770,kmeans,spatial_xy,42,3,0.0,0.009307146072387695,3,0.6,2
780,kmeans,spatial_xy,42,3,0.0,0.009169578552246094,3,0.6,2
790,kmeans,spatial_xy,44,3,0.0,0.009381771087646484,3,0.6,2
800,kmeans,spatial_xy,45,3,0.0,0.009837627410888672,3,0.6,2
810,kmeans,spatial_xy,47,3,0.0,0.00974583625793457,3,0.6,2
820,kmeans,spatial_xy,46,3,0.0,0.010445833206176758,3,0.6,2
830,kmeans,spatial_xy,44,3,0.0,0.00879049301147461,3,0.6,2
840,kmeans,spatial_xy,42,3,0.0,0.010814666748046875,3,0.6,2
850,kmeans,spatial_xy,43,3,0.0,0.009607315063476562,3,0.6,2
860,kmeans,spatial_xy,42,3,0.0,0.009248971939086914,3,0.6,2
870,kmeans,spatial_xy,42,3,0.0,0.010275125503540039,3,0.6,2
880,kmeans,spatial_xy,44,3,0.0,0.009861946105957031,3,0.6,2
890,kmeans,spatial_xy,45,3,0.0,0.009929895401000977,3,0.6,2
900,kmeans,spatial_xy,45,3,0.0,0.00954747200012207,3,0.6,2
910,kmeans,spatial_xy,46,3,0.0,0.010424137115478516,3,0.6,2
920,kmeans,spatial_xy,46,3,0.0,0.010876178741455078,3,0.6,2
930,kmeans,spatial_xy,45,3,0.0,0.009497404098510742,3,0.6,2
940,kmeans,spatial_xy,48,3,0.0,0.00909733772277832,3,0.6,2
950,kmeans,spatial_xy,49,3,0.0,0.00902247428894043,3,0.6,2
960,kmeans,spatial_xy,48,3,0.0,0.009094476699829102,3,0.6,2
970,kmeans,spatial_xy,50,3,0.0,0.011576414108276367,3,0.6,2
980,kmeans,spatial_xy,51,3,0.0,0.009472131729125977,3,0.6,2
990,kmeans,spatial_xy,50,3,0.0,0.009320259094238281,3,0.6,2
1000,kmeans,spatial_xy,50,3,0.0,0.01143956184387207,3,0.6,2
