time_step,method,feature_mode,num_pedestrians,num_clusters,noise_ratio,raw_dbscan_num_clusters,raw_dbscan_noise_ratio,used_fallback,runtime_sec,eps,min_samples,window_size,momentum_alpha,position_weight,motion_weight
0,dbscan_kmeans_fallback,direction,29,4,0.034482758620689655,4,0.034482758620689655,0,0.0012917518615722656,0.8,2,5,0.7,1.0,1.0
10,dbscan_kmeans_fallback,direction,30,7,0.3333333333333333,7,0.3333333333333333,0,0.0009136199951171875,0.8,2,5,0.7,1.0,1.0
20,dbscan_kmeans_fallback,direction,31,7,0.3225806451612903,7,0.3225806451612903,0,0.0008759498596191406,0.8,2,5,0.7,1.0,1.0
30,dbscan_kmeans_fallback,direction,32,6,0.3125,6,0.3125,0,0.0008730888366699219,0.8,2,5,0.7,1.0,1.0
40,dbscan_kmeans_fallback,direction,33,8,0.2727272727272727,8,0.2727272727272727,0,0.0009031295776367188,0.8,2,5,0.7,1.0,1.0
50,dbscan_kmeans_fallback,direction,36,9,0.2777777777777778,9,0.2777777777777778,0,0.0009121894836425781,0.8,2,5,0.7,1.0,1.0
60,dbscan_kmeans_fallback,direction,37,8,0.35135135135135137,8,0.35135135135135137,0,0.0009014606475830078,0.8,2,5,0.7,1.0,1.0
70,dbscan_kmeans_fallback,direction,38,7,0.39473684210526316,7,0.39473684210526316,0,0.000942230224609375,0.8,2,5,0.7,1.0,1.0
80,dbscan_kmeans_fallback,direction,38,7,0.3684210526315789,7,0.3684210526315789,0,0.0008869171142578125,0.8,2,5,0.7,1.0,1.0
90,dbscan_kmeans_fallback,direction,39,7,0.358974358974359,7,0.358974358974359,0,0.0008914470672607422,0.8,2,5,0.7,1.0,1.0
100,dbscan_kmeans_fallback,direction,38,8,0.2631578947368421,8,0.2631578947368421,0,0.0009033679962158203,0.8,2,5,0.7,1.0,1.0
110,dbscan_kmeans_fallback,direction,37,7,0.2972972972972973,7,0.2972972972972973,0,0.0009057521820068359,0.8,2,5,0.7,1.0,1.0
120,dbscan_kmeans_fallback,direction,36,7,0.3333333333333333,7,0.3333333333333333,0,0.0008711814880371094,0.8,2,5,0.7,1.0,1.0
130,dbscan_kmeans_fallback,direction,36,7,0.2222222222222222,7,0.2222222222222222,0,0.0008661746978759766,0.8,2,5,0.7,1.0,1.0
140,dbscan_kmeans_fallback,direction,36,7,0.25,7,0.25,0,0.0009407997131347656,0.8,2,5,0.7,1.0,1.0
150,dbscan_kmeans_fallback,direction,37,7,0.2702702702702703,7,0.2702702702702703,0,0.00092315673828125,0.8,2,5,0.7,1.0,1.0
160,dbscan_kmeans_fallback,direction,35,7,0.2,7,0.2,0,0.00090789794921875,0.8,2,5,0.7,1.0,1.0
170,dbscan_kmeans_fallback,direction,36,7,0.2777777777777778,7,0.2777777777777778,0,0.0008702278137207031,0.8,2,5,0.7,1.0,1.0
180,dbscan_kmeans_fallback,direction,34,6,0.2647058823529412,6,0.2647058823529412,0,0.0008502006530761719,0.8,2,5,0.7,1.0,1.0
190,dbscan_kmeans_fallback,direction,37,7,0.2972972972972973,7,0.2972972972972973,0,0.0008690357208251953,0.8,2,5,0.7,1.0,1.0
200,dbscan_kmeans_fallback,direction,37,8,0.1891891891891892,8,0.1891891891891892,0,0.0008740425109863281,0.8,2,5,0.7,1.0,1.0
210,dbscan_kmeans_fallback,direction,37,7,0.2702702702702703,7,0.2702702702702703,0,0.0009331703186035156,0.8,2,5,0.7,1.0,1.0
220,dbscan_kmeans_fallback,direction,37,6,0.32432432432432434,6,0.32432432432432434,0,0.0009377002716064453,0.8,2,5,0.7,1.0,1.0
230,dbscan_kmeans_fallback,direction,36,7,0.25,7,0.25,0,0.0008676052093505859,0.8,2,5,0.7,1.0,1.0
240,dbscan_kmeans_fallback,direction,37,9,0.1891891891891892,9,0.1891891891891892,0,0.0008544921875,0.8,2,5,0.7,1.0,1.0
250,dbscan_kmeans_fallback,direction,36,8,0.3333333333333333,8,0.3333333333333333,0,0.0008752346038818359,0.8,2,5,0.7,1.0,1.0
260,dbscan_kmeans_fallback,direction,37,7,0.40540540540540543,7,0.40540540540540543,0,0.0008563995361328125,0.8,2,5,0.7,1.0,1.0
270,dbscan_kmeans_fallback,direction,36,8,0.2777777777777778,8,0.2777777777777778,0,0.0009219646453857422,0.8,2,5,0.7,1.0,1.0
280,dbscan_kmeans_fallback,direction,35,8,0.2571428571428571,8,0.2571428571428571,0,0.0009427070617675781,0.8,2,5,0.7,1.0,1.0
290,dbscan_kmeans_fallback,direction,35,10,0.22857142857142856,10,0.22857142857142856,0,0.0009446144104003906,0.8,2,5,0.7,1.0,1.0
300,dbscan_kmeans_fallback,direction,35,9,0.2571428571428571,9,0.2571428571428571,0,0.0008649826049804688,0.8,2,5,0.7,1.0,1.0
310,dbscan_kmeans_fallback,direction,32,7,0.3125,7,0.3125,0,0.0008373260498046875,0.8,2,5,0.7,1.0,1.0
320,dbscan_kmeans_fallback,direction,33,7,0.24242424242424243,7,0.24242424242424243,0,0.0008609294891357422,0.8,2,5,0.7,1.0,1.0
330,dbscan_kmeans_fallback,direction,35,7,0.3142857142857143,7,0.3142857142857143,0,0.0010993480682373047,0.8,2,5,0.7,1.0,1.0
340,dbscan_kmeans_fallback,direction,36,6,0.3888888888888889,6,0.3888888888888889,0,0.0008776187896728516,0.8,2,5,0.7,1.0,1.0
350,dbscan_kmeans_fallback,direction,36,8,0.3888888888888889,8,0.3888888888888889,0,0.0009341239929199219,0.8,2,5,0.7,1.0,1.0
360,dbscan_kmeans_fallback,direction,36,7,0.4444444444444444,7,0.4444444444444444,0,0.0009510517120361328,0.8,2,5,0.7,1.0,1.0
370,dbscan_kmeans_fallback,direction,36,6,0.4444444444444444,6,0.4444444444444444,0,0.0008492469787597656,0.8,2,5,0.7,1.0,1.0
380,dbscan_kmeans_fallback,direction,36,6,0.4444444444444444,6,0.4444444444444444,0,0.0008571147918701172,0.8,2,5,0.7,1.0,1.0
390,dbscan_kmeans_fallback,direction,36,9,0.25,9,0.25,0,0.0009348392486572266,0.8,2,5,0.7,1.0,1.0
400,dbscan_kmeans_fallback,direction,37,9,0.32432432432432434,9,0.32432432432432434,0,0.0008802413940429688,0.8,2,5,0.7,1.0,1.0
410,dbscan_kmeans_fallback,direction,37,10,0.2702702702702703,10,0.2702702702702703,0,0.0009071826934814453,0.8,2,5,0.7,1.0,1.0
420,dbscan_kmeans_fallback,direction,37,9,0.2702702702702703,9,0.2702702702702703,0,0.0009002685546875,0.8,2,5,0.7,1.0,1.0
430,dbscan_kmeans_fallback,direction,37,8,0.32432432432432434,8,0.32432432432432434,0,0.0009472370147705078,0.8,2,5,0.7,1.0,1.0
