time_step,method,feature_mode,num_pedestrians,num_clusters,noise_ratio,raw_dbscan_num_clusters,raw_dbscan_noise_ratio,used_fallback,runtime_sec,eps,min_samples,window_size,momentum_alpha,position_weight,motion_weight
0,dbscan_kmeans_fallback,instant_velocity,29,4,0.034482758620689655,4,0.034482758620689655,0,0.0009965896606445312,0.8,2,5,0.7,1.0,1.0
10,dbscan_kmeans_fallback,instant_velocity,30,8,0.23333333333333334,8,0.23333333333333334,0,0.0006880760192871094,0.8,2,5,0.7,1.0,1.0
20,dbscan_kmeans_fallback,instant_velocity,31,7,0.3225806451612903,7,0.3225806451612903,0,0.0006573200225830078,0.8,2,5,0.7,1.0,1.0
30,dbscan_kmeans_fallback,instant_velocity,32,7,0.34375,7,0.34375,0,0.0006639957427978516,0.8,2,5,0.7,1.0,1.0
40,dbscan_kmeans_fallback,instant_velocity,33,7,0.3333333333333333,7,0.3333333333333333,0,0.0006501674652099609,0.8,2,5,0.7,1.0,1.0
50,dbscan_kmeans_fallback,instant_velocity,36,6,0.3888888888888889,6,0.3888888888888889,0,0.0006039142608642578,0.8,2,5,0.7,1.0,1.0
60,dbscan_kmeans_fallback,instant_velocity,37,6,0.3783783783783784,6,0.3783783783783784,0,0.0005838871002197266,0.8,2,5,0.7,1.0,1.0
70,dbscan_kmeans_fallback,instant_velocity,38,7,0.3157894736842105,7,0.3157894736842105,0,0.0006167888641357422,0.8,2,5,0.7,1.0,1.0
80,dbscan_kmeans_fallback,instant_velocity,38,6,0.3684210526315789,6,0.3684210526315789,0,0.0005855560302734375,0.8,2,5,0.7,1.0,1.0
90,dbscan_kmeans_fallback,instant_velocity,39,7,0.3333333333333333,7,0.3333333333333333,0,0.0006062984466552734,0.8,2,5,0.7,1.0,1.0
100,dbscan_kmeans_fallback,instant_velocity,38,7,0.3684210526315789,7,0.3684210526315789,0,0.0005888938903808594,0.8,2,5,0.7,1.0,1.0
110,dbscan_kmeans_fallback,instant_velocity,37,7,0.40540540540540543,7,0.40540540540540543,0,0.0006036758422851562,0.8,2,5,0.7,1.0,1.0
120,dbscan_kmeans_fallback,instant_velocity,36,7,0.4166666666666667,7,0.4166666666666667,0,0.0005946159362792969,0.8,2,5,0.7,1.0,1.0
130,dbscan_kmeans_fallback,instant_velocity,36,8,0.3055555555555556,8,0.3055555555555556,0,0.0005934238433837891,0.8,2,5,0.7,1.0,1.0
140,dbscan_kmeans_fallback,instant_velocity,36,8,0.3333333333333333,8,0.3333333333333333,0,0.0005872249603271484,0.8,2,5,0.7,1.0,1.0
150,dbscan_kmeans_fallback,instant_velocity,37,8,0.32432432432432434,8,0.32432432432432434,0,0.0005884170532226562,0.8,2,5,0.7,1.0,1.0
160,dbscan_kmeans_fallback,instant_velocity,35,7,0.2571428571428571,7,0.2571428571428571,0,0.0006058216094970703,0.8,2,5,0.7,1.0,1.0
170,dbscan_kmeans_fallback,instant_velocity,36,8,0.2222222222222222,8,0.2222222222222222,0,0.0005981922149658203,0.8,2,5,0.7,1.0,1.0
180,dbscan_kmeans_fallback,instant_velocity,34,7,0.2647058823529412,7,0.2647058823529412,0,0.0006000995635986328,0.8,2,5,0.7,1.0,1.0
190,dbscan_kmeans_fallback,instant_velocity,37,8,0.21621621621621623,8,0.21621621621621623,0,0.0005860328674316406,0.8,2,5,0.7,1.0,1.0
200,dbscan_kmeans_fallback,instant_velocity,37,7,0.32432432432432434,7,0.32432432432432434,0,0.0022385120391845703,0.8,2,5,0.7,1.0,1.0
