time_step,method,feature_mode,num_pedestrians,num_clusters,noise_ratio,raw_dbscan_num_clusters,raw_dbscan_noise_ratio,used_fallback,runtime_sec,eps,min_samples,window_size,momentum_alpha,position_weight,motion_weight
0,dbscan_kmeans_fallback,momentum,29,2,0.0,1,0.034482758620689655,1,0.015037298202514648,1.0,2,5,0.7,1.0,0.5
10,dbscan_kmeans_fallback,momentum,30,2,0.03333333333333333,2,0.03333333333333333,0,0.0007801055908203125,1.0,2,5,0.7,1.0,0.5
20,dbscan_kmeans_fallback,momentum,31,2,0.03225806451612903,2,0.03225806451612903,0,0.0006139278411865234,1.0,2,5,0.7,1.0,0.5
30,dbscan_kmeans_fallback,momentum,32,2,0.0625,2,0.0625,0,0.0006029605865478516,1.0,2,5,0.7,1.0,0.5
40,dbscan_kmeans_fallback,momentum,33,2,0.09090909090909091,2,0.09090909090909091,0,0.0006730556488037109,1.0,2,5,0.7,1.0,0.5
50,dbscan_kmeans_fallback,momentum,36,4,0.1111111111111111,4,0.1111111111111111,0,0.0006525516510009766,1.0,2,5,0.7,1.0,0.5
60,dbscan_kmeans_fallback,momentum,37,4,0.10810810810810811,4,0.10810810810810811,0,0.0006434917449951172,1.0,2,5,0.7,1.0,0.5
70,dbscan_kmeans_fallback,momentum,38,4,0.10526315789473684,4,0.10526315789473684,0,0.0006041526794433594,1.0,2,5,0.7,1.0,0.5
80,dbscan_kmeans_fallback,momentum,38,5,0.13157894736842105,5,0.13157894736842105,0,0.0006721019744873047,1.0,2,5,0.7,1.0,0.5
90,dbscan_kmeans_fallback,momentum,39,7,0.1282051282051282,7,0.1282051282051282,0,0.0006651878356933594,1.0,2,5,0.7,1.0,0.5
100,dbscan_kmeans_fallback,momentum,38,7,0.07894736842105263,7,0.07894736842105263,0,0.0006530284881591797,1.0,2,5,0.7,1.0,0.5
110,dbscan_kmeans_fallback,momentum,37,7,0.08108108108108109,7,0.08108108108108109,0,0.0006661415100097656,1.0,2,5,0.7,1.0,0.5
120,dbscan_kmeans_fallback,momentum,36,6,0.1388888888888889,6,0.1388888888888889,0,0.0006480216979980469,1.0,2,5,0.7,1.0,0.5
130,dbscan_kmeans_fallback,momentum,36,6,0.1388888888888889,6,0.1388888888888889,0,0.0006115436553955078,1.0,2,5,0.7,1.0,0.5
140,dbscan_kmeans_fallback,momentum,36,5,0.1388888888888889,5,0.1388888888888889,0,0.0006537437438964844,1.0,2,5,0.7,1.0,0.5
150,dbscan_kmeans_fallback,momentum,37,5,0.13513513513513514,5,0.13513513513513514,0,0.0006570816040039062,1.0,2,5,0.7,1.0,0.5
160,dbscan_kmeans_fallback,momentum,35,5,0.08571428571428572,5,0.08571428571428572,0,0.0006630420684814453,1.0,2,5,0.7,1.0,0.5
170,dbscan_kmeans_fallback,momentum,36,4,0.08333333333333333,4,0.08333333333333333,0,0.0006496906280517578,1.0,2,5,0.7,1.0,0.5
180,dbscan_kmeans_fallback,momentum,34,4,0.08823529411764706,4,0.08823529411764706,0,0.0006034374237060547,1.0,2,5,0.7,1.0,0.5
190,dbscan_kmeans_fallback,momentum,37,4,0.13513513513513514,4,0.13513513513513514,0,0.0005936622619628906,1.0,2,5,0.7,1.0,0.5
200,dbscan_kmeans_fallback,momentum,37,3,0.13513513513513514,3,0.13513513513513514,0,0.0005960464477539062,1.0,2,5,0.7,1.0,0.5
210,dbscan_kmeans_fallback,momentum,37,2,0.08108108108108109,2,0.08108108108108109,0,0.0006031990051269531,1.0,2,5,0.7,1.0,0.5
220,dbscan_kmeans_fallback,momentum,37,2,0.08108108108108109,2,0.08108108108108109,0,0.0005900859832763672,1.0,2,5,0.7,1.0,0.5
230,dbscan_kmeans_fallback,momentum,36,2,0.08333333333333333,2,0.08333333333333333,0,0.0006098747253417969,1.0,2,5,0.7,1.0,0.5
240,dbscan_kmeans_fallback,momentum,37,4,0.08108108108108109,4,0.08108108108108109,0,0.0005903244018554688,1.0,2,5,0.7,1.0,0.5
250,dbscan_kmeans_fallback,momentum,36,4,0.08333333333333333,4,0.08333333333333333,0,0.0006527900695800781,1.0,2,5,0.7,1.0,0.5
260,dbscan_kmeans_fallback,momentum,37,4,0.13513513513513514,4,0.13513513513513514,0,0.0005886554718017578,1.0,2,5,0.7,1.0,0.5
270,dbscan_kmeans_fallback,momentum,36,5,0.1388888888888889,5,0.1388888888888889,0,0.0005943775177001953,1.0,2,5,0.7,1.0,0.5
280,dbscan_kmeans_fallback,momentum,35,6,0.08571428571428572,6,0.08571428571428572,0,0.0005977153778076172,1.0,2,5,0.7,1.0,0.5
290,dbscan_kmeans_fallback,momentum,35,6,0.11428571428571428,6,0.11428571428571428,0,0.0005903244018554688,1.0,2,5,0.7,1.0,0.5
300,dbscan_kmeans_fallback,momentum,35,6,0.11428571428571428,6,0.11428571428571428,0,0.0005950927734375,1.0,2,5,0.7,1.0,0.5
310,dbscan_kmeans_fallback,momentum,32,6,0.0625,6,0.0625,0,0.0007727146148681641,1.0,2,5,0.7,1.0,0.5
320,dbscan_kmeans_fallback,momentum,33,5,0.15151515151515152,5,0.15151515151515152,0,0.0005972385406494141,1.0,2,5,0.7,1.0,0.5
330,dbscan_kmeans_fallback,momentum,35,4,0.14285714285714285,4,0.14285714285714285,0,0.0006010532379150391,1.0,2,5,0.7,1.0,0.5
340,dbscan_kmeans_fallback,momentum,36,8,0.1388888888888889,8,0.1388888888888889,0,0.0005877017974853516,1.0,2,5,0.7,1.0,0.5
350,dbscan_kmeans_fallback,momentum,36,7,0.1111111111111111,7,0.1111111111111111,0,0.0005881786346435547,1.0,2,5,0.7,1.0,0.5
360,dbscan_kmeans_fallback,momentum,36,6,0.08333333333333333,6,0.08333333333333333,0,0.0006129741668701172,1.0,2,5,0.7,1.0,0.5
370,dbscan_kmeans_fallback,momentum,36,6,0.1111111111111111,6,0.1111111111111111,0,0.0006539821624755859,1.0,2,5,0.7,1.0,0.5
380,dbscan_kmeans_fallback,momentum,36,6,0.1111111111111111,6,0.1111111111111111,0,0.0005877017974853516,1.0,2,5,0.7,1.0,0.5
390,dbscan_kmeans_fallback,momentum,36,5,0.1111111111111111,5,0.1111111111111111,0,0.0006043910980224609,1.0,2,5,0.7,1.0,0.5
400,dbscan_kmeans_fallback,momentum,37,5,0.10810810810810811,5,0.10810810810810811,0,0.0005943775177001953,1.0,2,5,0.7,1.0,0.5
410,dbscan_kmeans_fallback,momentum,37,5,0.13513513513513514,5,0.13513513513513514,0,0.0005981922149658203,1.0,2,5,0.7,1.0,0.5
420,dbscan_kmeans_fallback,momentum,37,5,0.13513513513513514,5,0.13513513513513514,0,0.0005848407745361328,1.0,2,5,0.7,1.0,0.5
430,dbscan_kmeans_fallback,momentum,37,6,0.10810810810810811,6,0.10810810810810811,0,0.0006630420684814453,1.0,2,5,0.7,1.0,0.5
440,dbscan_kmeans_fallback,momentum,37,5,0.13513513513513514,5,0.13513513513513514,0,0.0006082057952880859,1.0,2,5,0.7,1.0,0.5
450,dbscan_kmeans_fallback,momentum,37,5,0.13513513513513514,5,0.13513513513513514,0,0.0006000995635986328,1.0,2,5,0.7,1.0,0.5
460,dbscan_kmeans_fallback,momentum,38,6,0.13157894736842105,6,0.13157894736842105,0,0.0005924701690673828,1.0,2,5,0.7,1.0,0.5
470,dbscan_kmeans_fallback,momentum,36,5,0.08333333333333333,5,0.08333333333333333,0,0.0006036758422851562,1.0,2,5,0.7,1.0,0.5
480,dbscan_kmeans_fallback,momentum,36,5,0.08333333333333333,5,0.08333333333333333,0,0.0005953311920166016,1.0,2,5,0.7,1.0,0.5
490,dbscan_kmeans_fallback,momentum,36,5,0.08333333333333333,5,0.08333333333333333,0,0.0006475448608398438,1.0,2,5,0.7,1.0,0.5
500,dbscan_kmeans_fallback,momentum,37,4,0.0,4,0.0,0,0.0006070137023925781,1.0,2,5,0.7,1.0,0.5
510,dbscan_kmeans_fallback,momentum,36,4,0.0,4,0.0,0,0.0005908012390136719,1.0,2,5,0.7,1.0,0.5
520,dbscan_kmeans_fallback,momentum,36,4,0.0,4,0.0,0,0.0006089210510253906,1.0,2,5,0.7,1.0,0.5
530,dbscan_kmeans_fallback,momentum,36,4,0.0,4,0.0,0,0.0005867481231689453,1.0,2,5,0.7,1.0,0.5
540,dbscan_kmeans_fallback,momentum,37,4,0.0,4,0.0,0,0.0006022453308105469,1.0,2,5,0.7,1.0,0.5
550,dbscan_kmeans_fallback,momentum,38,5,0.02631578947368421,5,0.02631578947368421,0,0.0006377696990966797,1.0,2,5,0.7,1.0,0.5
560,dbscan_kmeans_fallback,momentum,38,6,0.07894736842105263,6,0.07894736842105263,0,0.00060272216796875,1.0,2,5,0.7,1.0,0.5
570,dbscan_kmeans_fallback,momentum,39,6,0.10256410256410256,6,0.10256410256410256,0,0.0005881786346435547,1.0,2,5,0.7,1.0,0.5
580,dbscan_kmeans_fallback,momentum,39,6,0.10256410256410256,6,0.10256410256410256,0,0.0005996227264404297,1.0,2,5,0.7,1.0,0.5
590,dbscan_kmeans_fallback,momentum,38,4,0.13157894736842105,4,0.13157894736842105,0,0.0005888938903808594,1.0,2,5,0.7,1.0,0.5
600,dbscan_kmeans_fallback,momentum,37,4,0.13513513513513514,4,0.13513513513513514,0,0.0006155967712402344,1.0,2,5,0.7,1.0,0.5
610,dbscan_kmeans_fallback,momentum,34,4,0.14705882352941177,4,0.14705882352941177,0,0.0006392002105712891,1.0,2,5,0.7,1.0,0.5
620,dbscan_kmeans_fallback,momentum,35,6,0.14285714285714285,6,0.14285714285714285,0,0.0005981922149658203,1.0,2,5,0.7,1.0,0.5
630,dbscan_kmeans_fallback,momentum,38,6,0.10526315789473684,6,0.10526315789473684,0,0.0006077289581298828,1.0,2,5,0.7,1.0,0.5
640,dbscan_kmeans_fallback,momentum,37,6,0.16216216216216217,6,0.16216216216216217,0,0.0005950927734375,1.0,2,5,0.7,1.0,0.5
650,dbscan_kmeans_fallback,momentum,35,4,0.2,4,0.2,0,0.0005974769592285156,1.0,2,5,0.7,1.0,0.5
660,dbscan_kmeans_fallback,momentum,35,4,0.2,4,0.2,0,0.0006494522094726562,1.0,2,5,0.7,1.0,0.5
670,dbscan_kmeans_fallback,momentum,36,4,0.1388888888888889,4,0.1388888888888889,0,0.000713348388671875,1.0,2,5,0.7,1.0,0.5
680,dbscan_kmeans_fallback,momentum,35,5,0.14285714285714285,5,0.14285714285714285,0,0.0006482601165771484,1.0,2,5,0.7,1.0,0.5
690,dbscan_kmeans_fallback,momentum,35,5,0.14285714285714285,5,0.14285714285714285,0,0.000659942626953125,1.0,2,5,0.7,1.0,0.5
700,dbscan_kmeans_fallback,momentum,35,5,0.14285714285714285,5,0.14285714285714285,0,0.0006556510925292969,1.0,2,5,0.7,1.0,0.5
710,dbscan_kmeans_fallback,momentum,35,5,0.17142857142857143,5,0.17142857142857143,0,0.0006570816040039062,1.0,2,5,0.7,1.0,0.5
720,dbscan_kmeans_fallback,momentum,39,3,0.1282051282051282,3,0.1282051282051282,0,0.0006566047668457031,1.0,2,5,0.7,1.0,0.5
730,dbscan_kmeans_fallback,momentum,38,4,0.15789473684210525,4,0.15789473684210525,0,0.0006992816925048828,1.0,2,5,0.7,1.0,0.5
740,dbscan_kmeans_fallback,momentum,38,3,0.21052631578947367,3,0.21052631578947367,0,0.0006580352783203125,1.0,2,5,0.7,1.0,0.5
750,dbscan_kmeans_fallback,momentum,41,3,0.1951219512195122,3,0.1951219512195122,0,0.0006656646728515625,1.0,2,5,0.7,1.0,0.5
760,dbscan_kmeans_fallback,momentum,42,3,0.19047619047619047,3,0.19047619047619047,0,0.0006518363952636719,1.0,2,5,0.7,1.0,0.5
770,dbscan_kmeans_fallback,momentum,42,2,0.23809523809523808,2,0.23809523809523808,0,0.0006537437438964844,1.0,2,5,0.7,1.0,0.5
780,dbscan_kmeans_fallback,momentum,42,3,0.21428571428571427,3,0.21428571428571427,0,0.0006575584411621094,1.0,2,5,0.7,1.0,0.5
790,dbscan_kmeans_fallback,momentum,44,3,0.18181818181818182,3,0.18181818181818182,0,0.0007195472717285156,1.0,2,5,0.7,1.0,0.5
800,dbscan_kmeans_fallback,momentum,45,3,0.13333333333333333,3,0.13333333333333333,0,0.0006654262542724609,1.0,2,5,0.7,1.0,0.5
810,dbscan_kmeans_fallback,momentum,47,4,0.1276595744680851,4,0.1276595744680851,0,0.0006690025329589844,1.0,2,5,0.7,1.0,0.5
820,dbscan_kmeans_fallback,momentum,46,6,0.08695652173913043,6,0.08695652173913043,0,0.0005970001220703125,1.0,2,5,0.7,1.0,0.5
830,dbscan_kmeans_fallback,momentum,44,3,0.11363636363636363,3,0.11363636363636363,0,0.0006134510040283203,1.0,2,5,0.7,1.0,0.5
840,dbscan_kmeans_fallback,momentum,42,3,0.11904761904761904,3,0.11904761904761904,0,0.0005953311920166016,1.0,2,5,0.7,1.0,0.5
850,dbscan_kmeans_fallback,momentum,43,3,0.09302325581395349,3,0.09302325581395349,0,0.0006651878356933594,1.0,2,5,0.7,1.0,0.5
860,dbscan_kmeans_fallback,momentum,42,4,0.11904761904761904,4,0.11904761904761904,0,0.0005958080291748047,1.0,2,5,0.7,1.0,0.5
870,dbscan_kmeans_fallback,momentum,42,3,0.07142857142857142,3,0.07142857142857142,0,0.0005998611450195312,1.0,2,5,0.7,1.0,0.5
880,dbscan_kmeans_fallback,momentum,44,3,0.06818181818181818,3,0.06818181818181818,0,0.0006003379821777344,1.0,2,5,0.7,1.0,0.5
890,dbscan_kmeans_fallback,momentum,45,3,0.044444444444444446,3,0.044444444444444446,0,0.0006062984466552734,1.0,2,5,0.7,1.0,0.5
900,dbscan_kmeans_fallback,momentum,45,3,0.06666666666666667,3,0.06666666666666667,0,0.0005953311920166016,1.0,2,5,0.7,1.0,0.5
910,dbscan_kmeans_fallback,momentum,46,3,0.06521739130434782,3,0.06521739130434782,0,0.0006606578826904297,1.0,2,5,0.7,1.0,0.5
920,dbscan_kmeans_fallback,momentum,46,3,0.06521739130434782,3,0.06521739130434782,0,0.0006020069122314453,1.0,2,5,0.7,1.0,0.5
930,dbscan_kmeans_fallback,momentum,45,3,0.08888888888888889,3,0.08888888888888889,0,0.0006124973297119141,1.0,2,5,0.7,1.0,0.5
