time_step,method,feature_mode,num_pedestrians,num_clusters,noise_ratio,raw_dbscan_num_clusters,raw_dbscan_noise_ratio,used_fallback,runtime_sec,eps,min_samples,window_size,momentum_alpha,position_weight,motion_weight
0,dbscan_kmeans_fallback,window_velocity,29,4,0.034482758620689655,4,0.034482758620689655,0,0.0010166168212890625,0.8,2,5,0.7,1.0,1.0
10,dbscan_kmeans_fallback,window_velocity,30,8,0.23333333333333334,8,0.23333333333333334,0,0.0006880760192871094,0.8,2,5,0.7,1.0,1.0
20,dbscan_kmeans_fallback,window_velocity,31,7,0.3225806451612903,7,0.3225806451612903,0,0.00060272216796875,0.8,2,5,0.7,1.0,1.0
30,dbscan_kmeans_fallback,window_velocity,32,7,0.34375,7,0.34375,0,0.000644683837890625,0.8,2,5,0.7,1.0,1.0
40,dbscan_kmeans_fallback,window_velocity,33,7,0.3333333333333333,7,0.3333333333333333,0,0.0006608963012695312,0.8,2,5,0.7,1.0,1.0
50,dbscan_kmeans_fallback,window_velocity,36,7,0.3611111111111111,7,0.3611111111111111,0,0.0006594657897949219,0.8,2,5,0.7,1.0,1.0
60,dbscan_kmeans_fallback,window_velocity,37,7,0.35135135135135137,7,0.35135135135135137,0,0.0006618499755859375,0.8,2,5,0.7,1.0,1.0
70,dbscan_kmeans_fallback,window_velocity,38,7,0.3684210526315789,7,0.3684210526315789,0,0.00064849853515625,0.8,2,5,0.7,1.0,1.0
80,dbscan_kmeans_fallback,window_velocity,38,8,0.3157894736842105,8,0.3157894736842105,0,0.0006704330444335938,0.8,2,5,0.7,1.0,1.0
90,dbscan_kmeans_fallback,window_velocity,39,7,0.3333333333333333,7,0.3333333333333333,0,0.0006413459777832031,0.8,2,5,0.7,1.0,1.0
100,dbscan_kmeans_fallback,window_velocity,38,7,0.3157894736842105,7,0.3157894736842105,0,0.0006806850433349609,0.8,2,5,0.7,1.0,1.0
110,dbscan_kmeans_fallback,window_velocity,37,8,0.32432432432432434,8,0.32432432432432434,0,0.0006513595581054688,0.8,2,5,0.7,1.0,1.0
