time_step,method,feature_mode,num_pedestrians,num_clusters,raw_num_clusters,used_fallback,runtime_sec,window_size,beta,n_clusters_param,dist_threshold,vel_threshold,sigma_d,sigma_v
0,affinity_spectral,temporal_relation,29,3,3,0,0.02044510841369629,5,0.7,3,1.2,0.08,2.0,0.1
10,affinity_spectral,temporal_relation,30,3,3,0,0.008802652359008789,5,0.7,3,1.2,0.08,2.0,0.1
20,affinity_spectral,temporal_relation,31,3,3,0,0.009494781494140625,5,0.7,3,1.2,0.08,2.0,0.1
30,affinity_spectral,temporal_relation,32,3,3,0,0.013492345809936523,5,0.7,3,1.2,0.08,2.0,0.1
40,affinity_spectral,temporal_relation,33,3,3,0,0.01576995849609375,5,0.7,3,1.2,0.08,2.0,0.1
50,affinity_spectral,temporal_relation,36,3,3,0,0.012508392333984375,5,0.7,3,1.2,0.08,2.0,0.1
60,affinity_spectral,temporal_relation,37,3,3,0,0.01289987564086914,5,0.7,3,1.2,0.08,2.0,0.1
70,affinity_spectral,temporal_relation,38,3,3,0,0.013750076293945312,5,0.7,3,1.2,0.08,2.0,0.1
80,affinity_spectral,temporal_relation,38,3,3,0,0.01377248764038086,5,0.7,3,1.2,0.08,2.0,0.1
90,affinity_spectral,temporal_relation,39,3,3,0,0.014272928237915039,5,0.7,3,1.2,0.08,2.0,0.1
100,affinity_spectral,temporal_relation,38,3,3,0,0.016910552978515625,5,0.7,3,1.2,0.08,2.0,0.1
110,affinity_spectral,temporal_relation,37,3,3,0,0.022557973861694336,5,0.7,3,1.2,0.08,2.0,0.1
120,affinity_spectral,temporal_relation,36,3,3,0,0.023630857467651367,5,0.7,3,1.2,0.08,2.0,0.1
130,affinity_spectral,temporal_relation,36,3,3,0,0.02318882942199707,5,0.7,3,1.2,0.08,2.0,0.1
140,affinity_spectral,temporal_relation,36,3,3,0,0.029157638549804688,5,0.7,3,1.2,0.08,2.0,0.1
150,affinity_spectral,temporal_relation,37,3,3,0,0.02360677719116211,5,0.7,3,1.2,0.08,2.0,0.1
160,affinity_spectral,temporal_relation,35,3,3,0,0.022347211837768555,5,0.7,3,1.2,0.08,2.0,0.1
170,affinity_spectral,temporal_relation,36,3,3,0,0.02312779426574707,5,0.7,3,1.2,0.08,2.0,0.1
180,affinity_spectral,temporal_relation,34,3,3,0,0.017685413360595703,5,0.7,3,1.2,0.08,2.0,0.1
190,affinity_spectral,temporal_relation,37,3,3,0,0.01792621612548828,5,0.7,3,1.2,0.08,2.0,0.1
200,affinity_spectral,temporal_relation,37,3,3,0,0.014312028884887695,5,0.7,3,1.2,0.08,2.0,0.1
210,affinity_spectral,temporal_relation,37,3,3,0,0.013158321380615234,5,0.7,3,1.2,0.08,2.0,0.1
220,affinity_spectral,temporal_relation,37,3,3,0,0.013193130493164062,5,0.7,3,1.2,0.08,2.0,0.1
230,affinity_spectral,temporal_relation,36,3,3,0,0.012490034103393555,5,0.7,3,1.2,0.08,2.0,0.1
240,affinity_spectral,temporal_relation,37,3,3,0,0.012921333312988281,5,0.7,3,1.2,0.08,2.0,0.1
250,affinity_spectral,temporal_relation,36,3,3,0,0.014541387557983398,5,0.7,3,1.2,0.08,2.0,0.1
260,affinity_spectral,temporal_relation,37,3,3,0,0.018311262130737305,5,0.7,3,1.2,0.08,2.0,0.1
270,affinity_spectral,temporal_relation,36,3,3,0,0.020508289337158203,5,0.7,3,1.2,0.08,2.0,0.1
280,affinity_spectral,temporal_relation,35,3,3,0,0.02231740951538086,5,0.7,3,1.2,0.08,2.0,0.1
290,affinity_spectral,temporal_relation,35,3,3,0,0.019693374633789062,5,0.7,3,1.2,0.08,2.0,0.1
300,affinity_spectral,temporal_relation,35,3,3,0,0.024875640869140625,5,0.7,3,1.2,0.08,2.0,0.1
310,affinity_spectral,temporal_relation,32,3,3,0,0.022705078125,5,0.7,3,1.2,0.08,2.0,0.1
320,affinity_spectral,temporal_relation,33,3,3,0,0.023026227951049805,5,0.7,3,1.2,0.08,2.0,0.1
330,affinity_spectral,temporal_relation,35,3,3,0,0.02446746826171875,5,0.7,3,1.2,0.08,2.0,0.1
340,affinity_spectral,temporal_relation,36,3,3,0,0.024787187576293945,5,0.7,3,1.2,0.08,2.0,0.1
350,affinity_spectral,temporal_relation,36,3,3,0,0.016989469528198242,5,0.7,3,1.2,0.08,2.0,0.1
360,affinity_spectral,temporal_relation,36,3,3,0,0.013516664505004883,5,0.7,3,1.2,0.08,2.0,0.1
370,affinity_spectral,temporal_relation,36,3,3,0,0.013359785079956055,5,0.7,3,1.2,0.08,2.0,0.1
380,affinity_spectral,temporal_relation,36,3,3,0,0.013167142868041992,5,0.7,3,1.2,0.08,2.0,0.1
390,affinity_spectral,temporal_relation,36,3,3,0,0.013402700424194336,5,0.7,3,1.2,0.08,2.0,0.1
400,affinity_spectral,temporal_relation,37,3,3,0,0.013497114181518555,5,0.7,3,1.2,0.08,2.0,0.1
410,affinity_spectral,temporal_relation,37,3,3,0,0.01684403419494629,5,0.7,3,1.2,0.08,2.0,0.1
420,affinity_spectral,temporal_relation,37,3,3,0,0.0175018310546875,5,0.7,3,1.2,0.08,2.0,0.1
430,affinity_spectral,temporal_relation,37,3,3,0,0.013297319412231445,5,0.7,3,1.2,0.08,2.0,0.1
440,affinity_spectral,temporal_relation,37,3,3,0,0.013560295104980469,5,0.7,3,1.2,0.08,2.0,0.1
450,affinity_spectral,temporal_relation,37,3,3,0,0.013370037078857422,5,0.7,3,1.2,0.08,2.0,0.1
460,affinity_spectral,temporal_relation,38,3,3,0,0.013506412506103516,5,0.7,3,1.2,0.08,2.0,0.1
470,affinity_spectral,temporal_relation,36,3,3,0,0.01409149169921875,5,0.7,3,1.2,0.08,2.0,0.1
480,affinity_spectral,temporal_relation,36,3,3,0,0.020441532135009766,5,0.7,3,1.2,0.08,2.0,0.1
490,affinity_spectral,temporal_relation,36,3,3,0,0.014356851577758789,5,0.7,3,1.2,0.08,2.0,0.1
500,affinity_spectral,temporal_relation,37,3,3,0,0.013158559799194336,5,0.7,3,1.2,0.08,2.0,0.1
510,affinity_spectral,temporal_relation,36,3,3,0,0.01296377182006836,5,0.7,3,1.2,0.08,2.0,0.1
520,affinity_spectral,temporal_relation,36,3,3,0,0.012943029403686523,5,0.7,3,1.2,0.08,2.0,0.1
530,affinity_spectral,temporal_relation,36,3,3,0,0.012907266616821289,5,0.7,3,1.2,0.08,2.0,0.1
540,affinity_spectral,temporal_relation,37,3,3,0,0.018988847732543945,5,0.7,3,1.2,0.08,2.0,0.1
550,affinity_spectral,temporal_relation,38,3,3,0,0.017819881439208984,5,0.7,3,1.2,0.08,2.0,0.1
560,affinity_spectral,temporal_relation,38,3,3,0,0.013624191284179688,5,0.7,3,1.2,0.08,2.0,0.1
570,affinity_spectral,temporal_relation,39,3,3,0,0.014324188232421875,5,0.7,3,1.2,0.08,2.0,0.1
580,affinity_spectral,temporal_relation,39,3,3,0,0.01447606086730957,5,0.7,3,1.2,0.08,2.0,0.1
590,affinity_spectral,temporal_relation,38,3,3,0,0.013996601104736328,5,0.7,3,1.2,0.08,2.0,0.1
600,affinity_spectral,temporal_relation,37,3,3,0,0.014870643615722656,5,0.7,3,1.2,0.08,2.0,0.1
610,affinity_spectral,temporal_relation,34,3,3,0,0.016227006912231445,5,0.7,3,1.2,0.08,2.0,0.1
620,affinity_spectral,temporal_relation,35,3,3,0,0.015357255935668945,5,0.7,3,1.2,0.08,2.0,0.1
630,affinity_spectral,temporal_relation,38,3,3,0,0.013442516326904297,5,0.7,3,1.2,0.08,2.0,0.1
640,affinity_spectral,temporal_relation,37,3,3,0,0.012962818145751953,5,0.7,3,1.2,0.08,2.0,0.1
650,affinity_spectral,temporal_relation,35,3,3,0,0.012272119522094727,5,0.7,3,1.2,0.08,2.0,0.1
660,affinity_spectral,temporal_relation,35,3,3,0,0.012553215026855469,5,0.7,3,1.2,0.08,2.0,0.1
670,affinity_spectral,temporal_relation,36,3,3,0,0.014722108840942383,5,0.7,3,1.2,0.08,2.0,0.1
680,affinity_spectral,temporal_relation,35,3,3,0,0.018767118453979492,5,0.7,3,1.2,0.08,2.0,0.1
690,affinity_spectral,temporal_relation,35,3,3,0,0.013701915740966797,5,0.7,3,1.2,0.08,2.0,0.1
700,affinity_spectral,temporal_relation,35,3,3,0,0.012466669082641602,5,0.7,3,1.2,0.08,2.0,0.1
710,affinity_spectral,temporal_relation,35,3,3,0,0.01773858070373535,5,0.7,3,1.2,0.08,2.0,0.1
720,affinity_spectral,temporal_relation,39,3,3,0,0.014150619506835938,5,0.7,3,1.2,0.08,2.0,0.1
730,affinity_spectral,temporal_relation,38,3,3,0,0.013865470886230469,5,0.7,3,1.2,0.08,2.0,0.1
740,affinity_spectral,temporal_relation,38,3,3,0,0.021062850952148438,5,0.7,3,1.2,0.08,2.0,0.1
750,affinity_spectral,temporal_relation,41,3,3,0,0.01586771011352539,5,0.7,3,1.2,0.08,2.0,0.1
760,affinity_spectral,temporal_relation,42,3,3,0,0.016228437423706055,5,0.7,3,1.2,0.08,2.0,0.1
