time_step,method,feature_mode,num_pedestrians,num_clusters,raw_num_clusters,used_fallback,runtime_sec,window_size,beta,n_clusters_param,dist_threshold,vel_threshold,sigma_d,sigma_v
0,relation_graph,temporal_relation,29,7,7,0,0.004273176193237305,5,0.7,3,2.5,0.2,2.0,0.1
10,relation_graph,temporal_relation,30,9,9,0,0.004755258560180664,5,0.7,3,2.5,0.2,2.0,0.1
20,relation_graph,temporal_relation,31,10,10,0,0.005486488342285156,5,0.7,3,2.5,0.2,2.0,0.1
30,relation_graph,temporal_relation,32,7,7,0,0.008963584899902344,5,0.7,3,2.5,0.2,2.0,0.1
40,relation_graph,temporal_relation,33,7,7,0,0.009081602096557617,5,0.7,3,2.5,0.2,2.0,0.1
50,relation_graph,temporal_relation,36,8,8,0,0.01226186752319336,5,0.7,3,2.5,0.2,2.0,0.1
60,relation_graph,temporal_relation,37,7,7,0,0.009177446365356445,5,0.7,3,2.5,0.2,2.0,0.1
70,relation_graph,temporal_relation,38,5,5,0,0.009443283081054688,5,0.7,3,2.5,0.2,2.0,0.1
80,relation_graph,temporal_relation,38,5,5,0,0.011292457580566406,5,0.7,3,2.5,0.2,2.0,0.1
90,relation_graph,temporal_relation,39,4,4,0,0.010243892669677734,5,0.7,3,2.5,0.2,2.0,0.1
100,relation_graph,temporal_relation,38,4,4,0,0.009847402572631836,5,0.7,3,2.5,0.2,2.0,0.1
110,relation_graph,temporal_relation,37,5,5,0,0.009505033493041992,5,0.7,3,2.5,0.2,2.0,0.1
120,relation_graph,temporal_relation,36,6,6,0,0.009984731674194336,5,0.7,3,2.5,0.2,2.0,0.1
130,relation_graph,temporal_relation,36,8,8,0,0.01245880126953125,5,0.7,3,2.5,0.2,2.0,0.1
140,relation_graph,temporal_relation,36,6,6,0,0.012935400009155273,5,0.7,3,2.5,0.2,2.0,0.1
150,relation_graph,temporal_relation,37,6,6,0,0.009297370910644531,5,0.7,3,2.5,0.2,2.0,0.1
160,relation_graph,temporal_relation,35,5,5,0,0.008466958999633789,5,0.7,3,2.5,0.2,2.0,0.1
170,relation_graph,temporal_relation,36,5,5,0,0.008789539337158203,5,0.7,3,2.5,0.2,2.0,0.1
180,relation_graph,temporal_relation,34,4,4,0,0.007898807525634766,5,0.7,3,2.5,0.2,2.0,0.1
190,relation_graph,temporal_relation,37,4,4,0,0.008895397186279297,5,0.7,3,2.5,0.2,2.0,0.1
200,relation_graph,temporal_relation,37,5,5,0,0.00908660888671875,5,0.7,3,2.5,0.2,2.0,0.1
210,relation_graph,temporal_relation,37,5,5,0,0.009392261505126953,5,0.7,3,2.5,0.2,2.0,0.1
220,relation_graph,temporal_relation,37,3,3,0,0.011084556579589844,5,0.7,3,2.5,0.2,2.0,0.1
230,relation_graph,temporal_relation,36,4,4,0,0.01303243637084961,5,0.7,3,2.5,0.2,2.0,0.1
240,relation_graph,temporal_relation,37,4,4,0,0.010469436645507812,5,0.7,3,2.5,0.2,2.0,0.1
250,relation_graph,temporal_relation,36,5,5,0,0.00871586799621582,5,0.7,3,2.5,0.2,2.0,0.1
260,relation_graph,temporal_relation,37,4,4,0,0.009212493896484375,5,0.7,3,2.5,0.2,2.0,0.1
270,relation_graph,temporal_relation,36,5,5,0,0.008968114852905273,5,0.7,3,2.5,0.2,2.0,0.1
280,relation_graph,temporal_relation,35,5,5,0,0.008548736572265625,5,0.7,3,2.5,0.2,2.0,0.1
290,relation_graph,temporal_relation,35,3,3,0,0.008656740188598633,5,0.7,3,2.5,0.2,2.0,0.1
300,relation_graph,temporal_relation,35,5,5,0,0.00853419303894043,5,0.7,3,2.5,0.2,2.0,0.1
310,relation_graph,temporal_relation,32,4,4,0,0.007210731506347656,5,0.7,3,2.5,0.2,2.0,0.1
320,relation_graph,temporal_relation,33,4,4,0,0.00786280632019043,5,0.7,3,2.5,0.2,2.0,0.1
330,relation_graph,temporal_relation,35,7,7,0,0.011449813842773438,5,0.7,3,2.5,0.2,2.0,0.1
340,relation_graph,temporal_relation,36,7,7,0,0.012565851211547852,5,0.7,3,2.5,0.2,2.0,0.1
350,relation_graph,temporal_relation,36,4,4,0,0.008686304092407227,5,0.7,3,2.5,0.2,2.0,0.1
360,relation_graph,temporal_relation,36,5,5,0,0.008870124816894531,5,0.7,3,2.5,0.2,2.0,0.1
370,relation_graph,temporal_relation,36,6,6,0,0.009184837341308594,5,0.7,3,2.5,0.2,2.0,0.1
380,relation_graph,temporal_relation,36,5,5,0,0.008984804153442383,5,0.7,3,2.5,0.2,2.0,0.1
390,relation_graph,temporal_relation,36,4,4,0,0.009026765823364258,5,0.7,3,2.5,0.2,2.0,0.1
400,relation_graph,temporal_relation,37,5,5,0,0.009229898452758789,5,0.7,3,2.5,0.2,2.0,0.1
410,relation_graph,temporal_relation,37,4,4,0,0.011600017547607422,5,0.7,3,2.5,0.2,2.0,0.1
420,relation_graph,temporal_relation,37,4,4,0,0.01235651969909668,5,0.7,3,2.5,0.2,2.0,0.1
430,relation_graph,temporal_relation,37,4,4,0,0.011787176132202148,5,0.7,3,2.5,0.2,2.0,0.1
440,relation_graph,temporal_relation,37,6,6,0,0.012452840805053711,5,0.7,3,2.5,0.2,2.0,0.1
450,relation_graph,temporal_relation,37,6,6,0,0.00942683219909668,5,0.7,3,2.5,0.2,2.0,0.1
460,relation_graph,temporal_relation,38,6,6,0,0.009801387786865234,5,0.7,3,2.5,0.2,2.0,0.1
470,relation_graph,temporal_relation,36,5,5,0,0.008914470672607422,5,0.7,3,2.5,0.2,2.0,0.1
480,relation_graph,temporal_relation,36,5,5,0,0.00896596908569336,5,0.7,3,2.5,0.2,2.0,0.1
490,relation_graph,temporal_relation,36,4,4,0,0.008900880813598633,5,0.7,3,2.5,0.2,2.0,0.1
500,relation_graph,temporal_relation,37,3,3,0,0.009212970733642578,5,0.7,3,2.5,0.2,2.0,0.1
510,relation_graph,temporal_relation,36,3,3,0,0.008911609649658203,5,0.7,3,2.5,0.2,2.0,0.1
520,relation_graph,temporal_relation,36,4,4,0,0.01294851303100586,5,0.7,3,2.5,0.2,2.0,0.1
530,relation_graph,temporal_relation,36,4,4,0,0.012995719909667969,5,0.7,3,2.5,0.2,2.0,0.1
540,relation_graph,temporal_relation,37,5,5,0,0.009399652481079102,5,0.7,3,2.5,0.2,2.0,0.1
550,relation_graph,temporal_relation,38,7,7,0,0.009668350219726562,5,0.7,3,2.5,0.2,2.0,0.1
