stage,method_name,method,feature_mode,num_frames,avg_num_clusters,min_num_clusters,max_num_clusters,std_num_clusters,avg_noise_ratio,avg_raw_dbscan_num_clusters,avg_raw_dbscan_noise_ratio,fallback_frames,fallback_ratio,avg_runtime_sec,frames_with_less_than_2_clusters,ratio_frames_at_least_2_clusters,eps,min_samples,window_size,momentum_alpha,position_weight,motion_weight,beta,dist_threshold,vel_threshold,sigma_d,sigma_v,result_path,stats_path
A_baseline,kmeans_spatial_xy,kmeans,,541,3.0,3,3,0.0,0.0,,,0,0.0,0.0080529237630847,0,1.0,0.6,2.0,,,,,,,,,,outputs/a_baseline/clusters_kmeans_xy_k3_eps0p6_min2.csv,outputs/a_baseline/stats_kmeans_xy_k3_eps0p6_min2.csv
A_baseline,dbscan_spatial_xy,dbscan,,541,4.652495378927911,2,8,1.216148391316137,0.0770965250759736,,,0,0.0,0.0008496607958499,0,1.0,0.6,2.0,,,,,,,,,,outputs/a_baseline/clusters_dbscan_xy_k3_eps0p6_min2.csv,outputs/a_baseline/stats_dbscan_xy_k3_eps0p6_min2.csv
A_baseline,agglomerative_spatial_xy,agglomerative,,541,3.0,3,3,0.0,0.0,,,0,0.0,0.0003719937999675,0,1.0,0.6,2.0,,,,,,,,,,outputs/a_baseline/clusters_agglomerative_xy_k3_eps0p6_min2.csv,outputs/a_baseline/stats_agglomerative_xy_k3_eps0p6_min2.csv
A_baseline,gmm_spatial_xy,gmm,,541,3.0,3,3,0.0,0.0,,,0,0.0,0.0246468427661606,0,1.0,0.6,2.0,,,,,,,,,,outputs/a_baseline/clusters_gmm_xy_k3_eps0p6_min2.csv,outputs/a_baseline/stats_gmm_xy_k3_eps0p6_min2.csv
B_motion,instant_velocity_eps0.8_mw1.0,dbscan_kmeans_fallback,instant_velocity,541,7.369685767097967,2,14,2.3890424420599388,0.3329370505702192,7.367837338262477,0.3342418238658591,1,0.0018484288354898,0.0006514252223721,0,1.0,0.8,2.0,5.0,0.7,1.0,1.0,,,,,,outputs/b_motion/clusters_b_instant_velocity_eps0p8_min2_w5_a0p7_pw1p0_mw1p0.csv,outputs/b_motion/stats_b_instant_velocity_eps0p8_min2_w5_a0p7_pw1p0_mw1p0.csv
B_motion,window_velocity_eps0.8_mw1.0,dbscan_kmeans_fallback,window_velocity,541,7.652495378927911,2,14,2.4452028361060005,0.317104055546745,7.648798521256932,0.3193416272949696,2,0.0036968576709796,0.0006574663349088,0,1.0,0.8,2.0,5.0,0.7,1.0,1.0,,,,,,outputs/b_motion/clusters_b_window_velocity_eps0p8_min2_w5_a0p7_pw1p0_mw1p0.csv,outputs/b_motion/stats_b_window_velocity_eps0p8_min2_w5_a0p7_pw1p0_mw1p0.csv
B_motion,window_velocity_eps1.0_mw0.5,dbscan_kmeans_fallback,window_velocity,541,3.953789279112754,2,9,1.2951796185870776,0.1067733917481899,3.9408502772643255,0.1077080263721473,7,0.0129390018484288,0.0006837655347728,0,1.0,1.0,2.0,5.0,0.7,1.0,0.5,,,,,,outputs/b_motion/clusters_b_window_velocity_eps1p0_min2_w5_a0p7_pw1p0_mw0p5.csv,outputs/b_motion/stats_b_window_velocity_eps1p0_min2_w5_a0p7_pw1p0_mw0p5.csv
B_motion,momentum_eps0.8_mw1.0,dbscan_kmeans_fallback,momentum,541,7.8077634011090575,2,15,2.5099828071254686,0.3069246586953033,7.805914972273568,0.3077029445207727,1,0.0018484288354898,0.000670871981411,0,1.0,0.8,2.0,5.0,0.7,1.0,1.0,,,,,,outputs/b_motion/clusters_b_momentum_eps0p8_min2_w5_a0p7_pw1p0_mw1p0.csv,outputs/b_motion/stats_b_momentum_eps0p8_min2_w5_a0p7_pw1p0_mw1p0.csv
B_motion,momentum_eps1.0_mw0.5,dbscan_kmeans_fallback,momentum,541,4.011090573012939,2,9,1.3122876946893884,0.102568098865075,3.99445471349353,0.1055048693197459,9,0.0166358595194085,0.0006906311965914,0,1.0,1.0,2.0,5.0,0.7,1.0,0.5,,,,,,outputs/b_motion/clusters_b_momentum_eps1p0_min2_w5_a0p7_pw1p0_mw0p5.csv,outputs/b_motion/stats_b_momentum_eps1p0_min2_w5_a0p7_pw1p0_mw0p5.csv
B_motion,direction_eps0.8_mw1.0,dbscan_kmeans_fallback,direction,541,7.024029574861368,2,14,2.2528531767873257,0.2984519565967196,7.018484288354898,0.3012599764783847,3,0.0055452865064695,0.000727501461995,0,1.0,0.8,2.0,5.0,0.7,1.0,1.0,,,,,,outputs/b_motion/clusters_b_direction_eps0p8_min2_w5_a0p7_pw1p0_mw1p0.csv,outputs/b_motion/stats_b_direction_eps0p8_min2_w5_a0p7_pw1p0_mw1p0.csv
