time_step,method,feature_mode,num_pedestrians,num_clusters,noise_ratio,raw_dbscan_num_clusters,raw_dbscan_noise_ratio,used_fallback,runtime_sec,eps,min_samples,window_size,momentum_alpha,position_weight,motion_weight
0,dbscan_kmeans_fallback,window_velocity,29,2,0.0,1,0.034482758620689655,1,0.015256643295288086,1.0,2,5,0.7,1.0,0.5
10,dbscan_kmeans_fallback,window_velocity,30,4,0.06666666666666667,4,0.06666666666666667,0,0.0008099079132080078,1.0,2,5,0.7,1.0,0.5
20,dbscan_kmeans_fallback,window_velocity,31,3,0.0967741935483871,3,0.0967741935483871,0,0.0006062984466552734,1.0,2,5,0.7,1.0,0.5
30,dbscan_kmeans_fallback,window_velocity,32,2,0.125,2,0.125,0,0.0005924701690673828,1.0,2,5,0.7,1.0,0.5
40,dbscan_kmeans_fallback,window_velocity,33,4,0.09090909090909091,4,0.09090909090909091,0,0.0005981922149658203,1.0,2,5,0.7,1.0,0.5
50,dbscan_kmeans_fallback,window_velocity,36,4,0.1111111111111111,4,0.1111111111111111,0,0.0006530284881591797,1.0,2,5,0.7,1.0,0.5
60,dbscan_kmeans_fallback,window_velocity,37,4,0.10810810810810811,4,0.10810810810810811,0,0.0006558895111083984,1.0,2,5,0.7,1.0,0.5
70,dbscan_kmeans_fallback,window_velocity,38,4,0.10526315789473684,4,0.10526315789473684,0,0.0006585121154785156,1.0,2,5,0.7,1.0,0.5
80,dbscan_kmeans_fallback,window_velocity,38,5,0.13157894736842105,5,0.13157894736842105,0,0.0006616115570068359,1.0,2,5,0.7,1.0,0.5
90,dbscan_kmeans_fallback,window_velocity,39,6,0.1282051282051282,6,0.1282051282051282,0,0.0006647109985351562,1.0,2,5,0.7,1.0,0.5
100,dbscan_kmeans_fallback,window_velocity,38,7,0.07894736842105263,7,0.07894736842105263,0,0.0006597042083740234,1.0,2,5,0.7,1.0,0.5
110,dbscan_kmeans_fallback,window_velocity,37,7,0.08108108108108109,7,0.08108108108108109,0,0.0006451606750488281,1.0,2,5,0.7,1.0,0.5
120,dbscan_kmeans_fallback,window_velocity,36,6,0.08333333333333333,6,0.08333333333333333,0,0.0006616115570068359,1.0,2,5,0.7,1.0,0.5
