time_step,num_pedestrians
0,29
10,30
20,31
30,32
40,33
50,36
60,37
70,38
80,38
90,39
100,38
110,37
120,36
130,36
140,36
150,37
160,35
170,36
180,34
190,37
200,37
210,37
220,37
230,36
240,37
250,36
260,37
270,36
280,35
290,35
300,35
310,32
320,33
330,35
340,36
350,36
360,36
370,36
380,36
390,36
400,37
410,37
420,37
430,37
440,37
450,37
460,38
470,36
480,36
490,36
500,37
510,36
520,36
530,36
540,37
550,38
560,38
570,39
580,39
590,38
600,37
610,34
620,35
630,38
640,37
650,35
660,35
670,36
680,35
690,35
700,35
710,35
720,39
730,38
740,38
750,41
760,42
770,42
780,42
790,44
800,45
810,47
820,46
830,44
840,42
850,43
860,42
870,42
880,44
890,45
900,45
910,46
920,46
930,45
940,48
950,49
960,48
970,50
980,51
990,50
1000,50
1010,49
1020,49
1030,48
1040,48
1050,45
1060,45
1070,45
1080,44
1090,44
1100,43
1110,44
1120,45
1130,45
1140,44
1150,47
1160,47
1170,44
1180,43
1190,43
1200,43
1210,41
1220,41
1230,40
1240,39
1250,39
1260,39
1270,38
1280,38
1290,38
1300,39
1310,38
1320,39
1330,37
1340,35
1350,32
1360,32
1370,31
1380,32
1390,32
1400,32
1410,32
1420,31
1430,29
1440,27
1450,26
1460,27
1470,26
1480,27
1490,29
1500,30
1510,28
1520,27
1530,30
1540,31
1550,31
1560,31
1570,32
1580,33
1590,32
1600,32
1610,32
1620,34
1630,34
1640,35
1650,35
1660,36
1670,37
1680,38
1690,40
1700,40
1710,40
1720,40
1730,43
1740,44
1750,44
1760,46
1770,47
1780,44
1790,43
1800,42
1810,42
1820,44
1830,43
1840,43
1850,45
1860,43
1870,44
1880,44
1890,44
1900,44
1910,46
1920,46
1930,46
1940,44
1950,42
1960,42
1970,42
1980,43
1990,42
2000,41
2010,47
2020,47
2030,47
2040,47
2050,49
2060,47
2070,47
2080,45
2090,43
2100,42
2110,41
2120,40
2130,37
2140,38
2150,38
2160,34
2170,34
2180,36
2190,40
2200,40
2210,38
2220,36
2230,35
2240,33
2250,31
2260,32
2270,32
2280,32
2290,34
2300,32
2310,39
2320,41
2330,41
2340,44
2350,48
2360,48
2370,47
2380,47
2390,47
2400,49
2410,49
2420,49
2430,48
2440,48
2450,49
2460,48
2470,48
2480,48
2490,48
2500,49
2510,50
2520,52
2530,52
2540,51
2550,48
2560,45
2570,45
2580,43
2590,41
2600,41
2610,41
2620,41
2630,40
2640,40
2650,41
2660,40
2670,43
2680,42
2690,41
2700,39
2710,37
2720,37
2730,38
2740,38
2750,35
2760,36
2770,35
2780,35
2790,35
2800,35
2810,35
2820,36
2830,38
2840,37
2850,37
2860,36
2870,35
2880,34
2890,34
2900,37
2910,34
2920,33
2930,29
2940,29
2950,31
2960,31
2970,29
2980,30
2990,30
3000,31
3010,30
3020,30
3030,29
3040,32
3050,31
3060,32
3070,31
3080,30
3090,29
3100,30
3110,29
3120,31
3130,32
3140,33
3150,33
3160,33
3170,33
3180,32
3190,31
3200,32
3210,31
3220,30
3230,32
3240,33
3250,34
3260,34
3270,34
3280,36
3290,36
3300,35
3310,35
3320,35
3330,35
3340,35
3350,35
3360,35
3370,35
3380,35
3390,35
3400,35
3410,35
3420,35
3430,37
3440,37
3450,34
3460,34
3470,34
3480,33
3490,32
3500,31
3510,30
3520,30
3530,30
3540,28
3550,27
3560,27
3570,26
3580,26
3590,27
3600,27
3610,27
3620,28
3630,29
3640,29
3650,28
3660,27
3670,27
3680,27
3690,29
3700,30
3710,32
3720,35
3730,36
3740,35
3750,32
3760,32
3770,32
3780,31
3790,34
3800,34
3810,34
3820,34
3830,34
3840,33
3850,32
3860,32
3870,31
3880,30
3890,28
3900,30
3910,30
3920,30
3930,30
3940,30
3950,31
3960,31
3970,31
3980,30
3990,31
4000,30
4010,27
4020,27
4030,27
4040,25
4050,24
4060,25
4070,25
4080,25
4090,26
4100,24
4110,21
4120,22
4130,22
4140,21
4150,21
4160,22
4170,21
4180,21
4190,19
4200,18
4210,19
4220,19
4230,20
4240,20
4250,21
4260,21
4270,20
4280,21
4290,21
4300,23
4310,23
4320,22
4330,22
4340,21
4350,21
4360,21
4370,21
4380,20
4390,20
4400,18
4410,17
4420,19
4430,19
4440,19
4450,18
4460,17
4470,16
4480,15
4490,16
4500,17
4510,18
4520,18
4530,21
4540,20
4550,19
4560,19
4570,21
4580,21
4590,22
4600,21
4610,22
4620,23
4630,24
4640,24
4650,24
4660,24
4670,23
4680,22
4690,21
4700,21
4710,19
4720,20
4730,18
4740,19
4750,17
4760,18
4770,19
4780,20
4790,20
4800,20
4810,20
4820,19
4830,18
4840,17
4850,17
4860,18
4870,17
4880,16
4890,15
4900,15
4910,16
4920,17
4930,17
4940,15
4950,14
4960,14
4970,15
4980,17
4990,18
5000,17
5010,18
5020,19
5030,19
5040,20
5050,22
5060,22
5070,23
5080,22
5090,22
5100,24
5110,24
5120,27
5130,28
5140,29
5150,30
5160,29
5170,30
5180,30
5190,30
5200,30
5210,28
5220,27
5230,26
5240,26
5250,26
5260,26
5270,27
5280,29
5290,27
5300,26
5310,26
5320,26
5330,26
5340,27
5350,27
5360,25
5370,25
5380,22
5390,20
5400,13
